intent,entity,utterance_zou,response_zou,utterance_en,response_en  
nousiat0,"dam zel, chibai, Chibai","Chibai! Na dam zel nai mah?","Dam zel, Lung dam e!",How are you?,"I'm fine, thank you."
nousiat1,"Mangpha, mangpha",Mangpha man aw,Nang zong mangpha man aw,Farewell, "Adieu, so long!"
nousiat2,"nang, na tanchin, Nang koi e?",Nang koi na hiai?,"Kei zouChat a kia, mihing ka hi sih hi. 24 May 2025 ni'a prototype ka hia, product piching ka hi nai sih hi. ",Who are you?,"I'n zouChat prototyped on 24 May 2025. I'n not yet a mature product."
nousiat3,zouChat,zouChat bang ni a kibawl khia e?,"zouChat browser prototype ahileh 24 May 2025 ni akibawl khia ahi a; Unix terminal ah tuami masang in tomkhat aki enkhe masa hi.",When was zouChat created?,zouChat was created on 24 May 2025.
def_science,science silsiamte thuh suina,Science bang a hiai?,Science pen technology theisiam na dia lampi ahi,What is science?,Science is a path of understanding technology
def_computer,computer,Computer bang a hiai?,"Computer hi electronic khawl-huahnei ahia: analogue, digital leh quantum komputer chi'n a kikhen hi.",What is computer?,"Computer is an electronic machine"
def_genAI,generative_AI,Generative AI bang a hiai?,"Generative AI in laiteng (text), lim (image), leh aw-ging (sound) a piang sah hi",What is generative AI?,"GenAI generates text, images and sound"
abbr_LLM,LLM,LLM bang china e?,LMM pen Large Language Model china ahi,What is the long form of LLM,LLM stands for Large Language Model.
abbr_JEE,"Joint Entrance Exam (JEE) Main, JEE Advanced",JEE bang china a hiai?,"JEE ahileh IIT a lut theina dia Joint Entrance Exam china ahia, National Testing Agency te'n January leh April simsial a bawl uh ahi.","What is JEE?","JEE stands for Joint Entrance Exam."
abbr_IETF,"ietf, IETF",IETF lamsau bang ahiai?,IETF pen Internet Engineering Task Force china ahi.,What is the long form of IETF?,IETF stands for Internet Engineering Task Force.
abbr_ASCII,"ascii, ASCII",ASCII lamsau bang e?,ASCII pen American Standard Code for Information Interchange genna ahi.,What is the long form of ASCII?,ASCII stands for American Standard Code for Information Interchange.
abbr_COBOL,"cobol, Cobol, COBOL","COBOL lamsau bang e?","COBOL pen Common Business Oriented Languages chi na ahi.","What is the long (full) form of COBOL?","COBOL stands for Common Business Oriented Languages."
info1_JEE,"JEE Main, JEE Advanced",JEE Main leh JEE Advanced kikhiatna bang ahiai?,"JEE Main exam a naupang rank sang penpen te'n 23 IIT te a lut theina di'n JEE Advanced a pe thei ding uhi","What is the differene between JEE Main and JEE Advanced?","Only the top rank holders of JEE Main qualifies for JEE Advanced to compete for entry into the 23 IITs"
info2_JEE,"number of attempts in JEE",JEE bang zat vei ki exam thei ahiai?,"Kum khat a JEE ni vei ki exam thei a (January leh April), tuaziah in kum 3 tan exam thei china ahi","How many attempts a candidate is permitted to take JEE?","Candidates can appear twice a year (January and April), allowing for a maximum of three attempts over three years."
hist_zouGal,"Zou Gal, Zogal, Zou gal, Anglo-Kuki War, Kuki Rising","Zou Gal bang hun lai a um ahiai?","Zou Gal kum 1917 apat 1919 tan Manipur leh Chin Hills ah ana um hi","When did Anglo-Kuki War happen?,It took place in Manipur and the Chin Hills from 1917 to 1919."
hist_zou0,"JCA, Zou tapidaw",Zou kristian te a dia JCA poimo na bang e?,"Manipur a Zou khristian te adin, 20 February 1954 a kiphut JCA (Daijang) pen hattuam masa pen, tham lou 'oganised religion' masa pen ahi.",
what was the significance of JCA for Zou Christians of Manipur?,"Established at Daijang on 20 February 1054, JCA was the first church as well as the orgin of oranised religion among the Zou people of Manipur."
hist_Kuki,"Meite-Kuki, Meitei leh Kuki",Meitel leh Kuki nam kal buaina bang kum a kipan e?,"Meitei leh Kuki-Zo nam kam buaina May 3, 2023 in ana kipan a, a veng nai sih hi.",When did the Meitei and Kuki-Zo ethnic clash begin?,It began on the night of 3rd May 2025.
hist_In0,"Plassey, Siraj-ud-Daulah",Plassey Gal bang kum a um e?,British EIC leh Bengal nawab (Siraj-ud-Daulah) te Plassey Gal 23 June 1757 in ana kidou uhi.,When did the Battle of Plassey happen?,Plassey happened on 23 June 1757.
hist_In1,Buxar,Buxar Gal bang kum a um e?,"Bengal nawab, Awadh nawab leh Mughal lengpa pang khawm, British EIC ten 1764 in Buxar Gal ah ana zo uhi.",When did the battle of Buxar happen?,"It was a battle fougnt by the British EIC against the combined forces of the nawabs of Bengal & Awadh, plus the Mughal emperor."
bio_Ada,"Ada Byron Lovelace, Lovelace, ada, ada lovelace","Ada Lovelace na thei ngai ei?","Ada Lovelace ahileh computer masa pen te lah a khat (Analytical Engine) kichi Charles Babbage toh ana bawl hi. Ama Lord Byron tanu ahi.","Do you know about Ada Lovelace?","She is a computer pioneer who built the Analytical Engine with Charles Babbage."
